                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                radius_cm                               mass_grams                              temperature                                   energy                                  density                                  entropy                                     logS                                 pressure                                       mu                                    grada                                       cv                                       cp                                   gamma1                                  opacity                               luminosity                                     logL                                    gradT                             d_gradT_dlnR                             actual_gradT                                    gradr                                    gradL                               sch_stable                            ledoux_stable                                      tau                               extra_heat                     log_irradiation_heat 
                                      10                  9.0133452867083758E-005                 -5.0020168216011596E-001                  2.3679120075498989E+000                 -5.6087569954901761E+000                  4.3121594282305775E+000                  7.3000000000000009E-001                  2.5000000000000006E-001                  1.9999999999999796E-002                  2.1998601748736645E+010                  1.7929346444320299E+029                  2.3329853279925490E+002                  1.8919067571399990E+010                  2.4617446599204529E-006                  8.5447455572761015E+000                  8.8515338346903221E+000                  2.0519152926701066E+004                  2.5399999999999983E+000                  3.0924981883202696E-001                  7.9797596300417230E+007                  1.1551715414386407E+008                  1.4464877129141980E+000                  8.0340172273711920E-004                  2.6590484188962600E-007                 -6.5752737544818913E+000                  1.2500078668637471E-001                  0.0000000000000000E+000                  1.2500078674139678E-001                  1.2500078668637471E-001                  3.0924982766922499E-001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.6666929583699430E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001 
                                      11                  9.0133452855817081E-005                 -5.0020171171441841E-001                  2.3679122486475879E+000                 -5.6087553078321877E+000                  4.3121613569862500E+000                  7.3000000000000009E-001                  2.5000000000000006E-001                  1.9999999999999796E-002                  2.1998600251703331E+010                  1.7929346442079132E+029                  2.3329866231449179E+002                  1.8919077937403488E+010                  2.4617542262200207E-006                  8.5447444240502968E+000                  8.8515337770930831E+000                  2.0519244055007130E+004                  2.5399999999999983E+000                  3.0924980115757850E-001                  7.9797603655233726E+007                  1.1551716149855599E+008                  1.4464876619143017E+000                  8.0340452289012678E-004                  2.6590521326701854E-007                 -6.5752731479226476E+000                  1.2500167453227043E-001                  0.0000000000000000E+000                  1.2500167464374556E-001                  1.2500167453227043E-001                  3.0924980999480273E-001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.6667225662451246E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001 
                                      12                  9.0133452844550404E-005                 -5.0020174126861439E-001                  2.3679126102951313E+000                 -5.6087527763614888E+000                  4.3121642501044830E+000                  7.3000000000000009E-001                  2.5000000000000006E-001                  1.9999999999999796E-002                  2.1998598754675514E+010                  1.7929346439837965E+029                  2.3329885658802453E+002                  1.8919093486464718E+010                  2.4617685756467650E-006                  8.5447427242297991E+000                  8.8515336906981368E+000                  2.0519380747503401E+004                  2.5399999999999983E+000                  3.0924977464584258E-001                  7.9797614687476501E+007                  1.1551717253061190E+008                  1.4464875854144583E+000                  8.0340872311241069E-004                  2.6590558464489446E-007                 -6.5752725413634625E+000                  1.2500256237915292E-001                  0.0000000000000000E+000                  1.2500256226530118E-001                  1.2500256237915292E-001                  3.0924979232033323E-001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.6667521742275293E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001 
                                      13                  9.0133452822017038E-005                 -5.0020180037667605E-001                  2.3679133335943625E+000                 -5.6087477134789081E+000                  4.3121700362862798E+000                  7.3000000000000009E-001                  2.5000000000000006E-001                  1.9999999999999796E-002                  2.1998595760636913E+010                  1.7929346435355627E+029                  2.3329924513780159E+002                  1.8919124584810890E+010                  2.4617972744177765E-006                  8.5447393246558754E+000                  8.8515335179116015E+000                  2.0519654132644668E+004                  2.5399999999999983E+000                  3.0924972162209829E-001                  7.9797636752043471E+007                  1.1551719459480518E+008                  1.4464874324146912E+000                  8.0341712353031289E-004                  2.6590632740209643E-007                 -6.5752713282452646E+000                  1.2500433807571187E-001                  0.0000000000000000E+000                  1.2500433813784281E-001                  1.2500433807571187E-001                  3.0924975697126117E-001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.6668113905140114E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001 
                                      14                  9.0133452776950291E-005                 -5.0020191859149410E-001                  2.3679150213114344E+000                 -5.6087359003901769E+000                  4.3121835370920456E+000                  7.3000000000000009E-001                  2.5000000000000006E-001                  1.9999999999999796E-002                  2.1998589772627045E+010                  1.7929346426390952E+029                  2.3330015176659916E+002                  1.8919197148665131E+010                  2.4618642377948738E-006                  8.5447313926571180E+000                  8.8515331147600538E+000                  2.0520292032001937E+004                  2.5399999999999983E+000                  3.0924959789884787E-001                  7.9797688236370638E+007                  1.1551724607826032E+008                  1.4464870754152634E+000                  8.0343672437054004E-004                  2.6590781292230017E-007                 -6.5752689020095616E+000                  1.2500788947977295E-001                  0.0000000000000000E+000                  1.2500788945693417E-001                  1.2500788947977295E-001                  3.0924968627259819E-001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.6669298243736608E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001 
                                      15                  9.0133452664283484E-005                 -5.0020221412092658E-001                  2.3679174324085550E+000                 -5.6087190252974111E+000                  4.3122028232818783E+000                  7.3000000000000009E-001                  2.5000000000000006E-001                  1.9999999999999796E-002                  2.1998574802995129E+010                  1.7929346403979270E+029                  2.3330144699577903E+002                  1.8919300815013264E+010                  2.4619598986799577E-006                  8.5447200621269843E+000                  8.8515325388741939E+000                  2.0521203319277316E+004                  2.5399999999999983E+000                  3.0924942114609744E-001                  7.9797761787095770E+007                  1.1551731962773953E+008                  1.4464865654115535E+000                  8.0346472520925424E-004                  2.6591152675663474E-007                 -6.5752628364243604E+000                  1.2501676806174022E-001                  0.0000000000000000E+000                  1.2501676805231321E-001                  1.2501676806174022E-001                  3.0924950952247265E-001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.6672259165283942E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001 
                                      16                  9.0133452551616663E-005                 -5.0020250963947832E-001                  2.3679210491552971E+000                 -5.6086937142863977E+000                  4.3122317510395529E+000                  7.3000000000000009E-001                  2.5000000000000006E-001                  1.9999999999999796E-002                  2.1998559833924541E+010                  1.7929346381567585E+029                  2.3330338990732184E+002                  1.8919456320142269E+010                  2.4621033877469774E-006                  8.5447030681559912E+000                  8.8515316751366910E+000                  2.0522570253909234E+004                  2.5399999999999983E+000                  3.0924915601064645E-001                  7.9797872114991933E+007                  1.1551742995376647E+008                  1.4464858004061540E+000                  8.0350672574500159E-004                  2.6591524063926543E-007                 -6.5752567708449954E+000                  1.2502564674227204E-001                  0.0000000000000000E+000                  1.2502564675148276E-001                  1.2502564674227204E-001                  3.0924933276761379E-001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.6675220194053109E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001 
                                      17                  9.0133452326283036E-005                 -5.0020310064394746E-001                  2.3679282830630251E+000                 -5.6086430981437561E+000                  4.3122896010897618E+000                  7.3000000000000009E-001                  2.5000000000000006E-001                  1.9999999999999796E-002                  2.1998529897466976E+010                  1.7929346336744222E+029                  2.3330727600148441E+002                  1.8919767352754059E+010                  2.4623903576348719E-006                  8.5446690869105257E+000                  8.8515299479968927E+000                  2.0525304138047741E+004                  2.5399999999999983E+000                  3.0924862571250072E-001                  7.9798092778918549E+007                  1.1551765061395341E+008                  1.4464842703873664E+000                  8.0359072415347305E-004                  2.6592266854933478E-007                 -6.5752446397039108E+000                  1.2504340438262471E-001                  0.0000000000000000E+000                  1.2504340438101424E-001                  1.2504340438262471E-001                  3.0924897924459788E-001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.6681142573252006E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001 
                                      18                  9.0133451875615769E-005                 -5.0020428252236970E-001                  2.3679451640669664E+000                 -5.6085250241885305E+000                  4.3124245560485521E+000                  7.3000000000000009E-001                  2.5000000000000006E-001                  1.9999999999999796E-002                  2.1998470031285126E+010                  1.7929346247097489E+029                  2.3331634481942871E+002                  1.8920493200164497E+010                  2.4630599118374197E-006                  8.5445898313750597E+000                  8.8515259197073242E+000                  2.0531683270445294E+004                  2.5399999999999983E+000                  3.0924738823199549E-001                  7.9798607695164397E+007                  1.1551816552146703E+008                  1.4464807003472151E+000                  8.0378670697583044E-004                  2.6593752494807363E-007                 -6.5752203774933760E+000                  1.2507892075679544E-001                  0.0000000000000000E+000                  1.2507892075808488E-001                  1.2507892075679544E-001                  3.0924827214664208E-001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.6692988618256066E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001 
                                      19                  9.0133450748947606E-005                 -5.0020723645742593E-001                  2.3679692870552369E+000                 -5.6083564218563451E+000                  4.3126172813684702E+000                  7.3000000000000009E-001                  2.5000000000000006E-001                  1.9999999999999796E-002                  2.1998320405090172E+010                  1.7929346022980656E+029                  2.3332930479013788E+002                  1.8921530494812927E+010                  2.4640163095882168E-006                  8.5444766987420930E+000                  8.8515201694952665E+000                  2.0540796564553319E+004                  2.5399999999999983E+000                  3.0924561987738358E-001                  7.9799343458320692E+007                  1.1551890127213299E+008                  1.4464755998408731E+000                  8.0406664638803910E-004                  2.6597466931259829E-007                 -6.5751597223974887E+000                  1.2516771885940414E-001                  0.0000000000000000E+000                  1.2516771885821984E-001                  1.2516771885940414E-001                  3.0924650405468956E-001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.6722611235510532E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001 
